Caught,IconFile
1,001-bulbasaur.svg
1,001-bulbasaur-shiny.svg
1,002-ivysaur.svg
1,002-ivysaur-shiny.svg
1,003-venusaur.svg
1,003-venusaur-shiny.svg
1,004-charmander.svg
1,004-charmander-shiny.svg
1,005-charmeleon.svg
1,005-charmeleon-shiny.svg
1,006-charizard.svg
1,006-charizard-shiny.svg
1,007-squirtle.svg
1,007-squirtle-shiny.svg
1,008-wartortle.svg
1,008-wartortle-shiny.svg
1,009-blastoise.svg
1,009-blastoise-shiny.svg
1,010-caterpie.svg
0,010-caterpie-shiny.svg
1,011-metapod.svg
0,011-metapod-shiny.svg
1,012-butterfree.svg
0,012-butterfree-shiny.svg
1,013-weedle.svg
0,013-weedle-shiny.svg
1,014-kakuna.svg
0,014-kakuna-shiny.svg
1,015-beedrill.svg
0,015-beedrill-shiny.svg
1,016-pidgey.svg
0,016-pidgey-shiny.svg
1,017-pidgeotto.svg
0,017-pidgeotto-shiny.svg
1,018-pidgeot.svg
0,018-pidgeot-shiny.svg
1,019-rattata.svg
1,019-rattata-shiny.svg
1,019-rattata-alola.svg
1,019-rattata-alola-shiny.svg
1,020-raticate.svg
1,020-raticate-shiny.svg
1,020-raticate-alola.svg
1,020-raticate-alola-shiny.svg
1,021-spearow.svg
0,021-spearow-shiny.svg
1,022-fearow.svg
0,022-fearow-shiny.svg
1,023-ekans.svg
0,023-ekans-shiny.svg
1,024-arbok.svg
0,024-arbok-shiny.svg
1,025-pikachu.svg
1,025-pikachu-shiny.svg
1,026-raichu.svg
1,026-raichu-shiny.svg
1,026-raichu-alola.svg
0,026-raichu-alola-shiny.svg
1,027-sandshrew.svg
0,027-sandshrew-shiny.svg
1,027-sandshrew-alola.svg
0,027-sandshrew-alola-shiny.svg
1,028-sandslash.svg
0,028-sandslash-shiny.svg
1,028-sandslash-alola.svg
0,028-sandslash-alola-shiny.svg
1,029-nidoran-f.svg
0,029-nidoran-f-shiny.svg
1,030-nidorina.svg
0,030-nidorina-shiny.svg
1,031-nidoqueen.svg
0,031-nidoqueen-shiny.svg
1,032-nidoran-m.svg
1,032-nidoran-m-shiny.svg
1,033-nidorino.svg
0,033-nidorino-shiny.svg
1,034-nidoking.svg
0,034-nidoking-shiny.svg
1,035-clefairy.svg
0,035-clefairy-shiny.svg
1,036-clefable.svg
0,036-clefable-shiny.svg
1,037-vulpix.svg
0,037-vulpix-shiny.svg
1,037-vulpix-alola.svg
0,037-vulpix-alola-shiny.svg
1,038-ninetales.svg
0,038-ninetales-shiny.svg
1,038-ninetales-alola.svg
0,038-ninetales-alola-shiny.svg
1,039-jigglypuff.svg
0,039-jigglypuff-shiny.svg
1,040-wigglytuff.svg
0,040-wigglytuff-shiny.svg
1,041-zubat.svg
0,041-zubat-shiny.svg
1,042-golbat.svg
0,042-golbat-shiny.svg
1,043-oddish.svg
0,043-oddish-shiny.svg
1,044-gloom.svg
0,044-gloom-shiny.svg
1,045-vileplume.svg
0,045-vileplume-shiny.svg
1,046-paras.svg
0,046-paras-shiny.svg
1,047-parasect.svg
0,047-parasect-shiny.svg
1,048-venonat.svg
0,048-venonat-shiny.svg
1,049-venomoth.svg
0,049-venomoth-shiny.svg
1,050-diglett.svg
